ResponseId,Age,YearsCode,CompTotal,ConvertedCompYearly
56907,25-34 years old,15,51600,51600
56908,25-34 years old,7,60000,64254
56909,35-44 years old,28,59000,63183
56910,Under 18 years old,NA,NA,NA
56911,25-34 years old,8,54000,57828
56912,18-24 years old,2,NA,NA
56913,35-44 years old,22,50000,53545
56914,35-44 years old,8,60000,64254
56915,35-44 years old,2,NA,NA
56916,Under 18 years old,6,NA,NA
56917,25-34 years old,11,250000,185879
56918,25-34 years old,5,NA,NA
56919,25-34 years old,13,120000,120000
56920,25-34 years old,9,140000,140000
56921,25-34 years old,11,NA,NA
56922,18-24 years old,5,NA,NA
56923,25-34 years old,12,183000,183000
56924,25-34 years old,16,636000,58602
56925,25-34 years old,7,164000,164000
56926,35-44 years old,7,61000,75724
56927,25-34 years old,7,NA,NA
56928,35-44 years old,20,100000,107090
56929,18-24 years old,4,NA,NA
56930,25-34 years old,14,250000,250000
56931,18-24 years old,10,NA,NA
56932,45-54 years old,40,NA,NA
56933,Under 18 years old,3,NA,NA
56934,18-24 years old,9,NA,NA
56935,25-34 years old,4,110000,110000
56936,35-44 years old,29,170000,170000
56937,Under 18 years old,6,NA,NA
56938,45-54 years old,33,NA,NA
56939,25-34 years old,5,NA,NA
56940,45-54 years old,43,NA,NA
56941,18-24 years old,8,NA,NA
56942,25-34 years old,14,60000,1098
56943,35-44 years old,10,2130000,2130000
56944,25-34 years old,10,137500,137500
56945,25-34 years old,NA,NA,NA
56946,45-54 years old,34,55517,68918
56947,35-44 years old,25,160000,160000
56948,Under 18 years old,5,NA,NA
56949,18-24 years old,5,NA,NA
56950,35-44 years old,17,250000,250000
56951,45-54 years old,35,100000,100000
56952,35-44 years old,20,180000,43067
56953,35-44 years old,15,4000000,921
56954,35-44 years old,20,140000,140000
56955,25-34 years old,10,NA,NA
56956,18-24 years old,NA,NA,NA
56957,25-34 years old,17,70000,74963
56958,25-34 years old,7,170000,170000
56959,35-44 years old,4,140000,140000
56960,35-44 years old,20,66000,66000
56961,25-34 years old,18,321000,695
56962,18-24 years old,3,NA,NA
56963,35-44 years old,17,936000,119394
56964,35-44 years old,25,80000,99311
56965,18-24 years old,10,NA,NA
56966,45-54 years old,34,NA,NA
56967,65 years or older,5,95000,70634
56968,25-34 years old,7,160000,160000
56969,25-34 years old,5,90000,66916
56970,35-44 years old,1,10000,10709
56971,35-44 years old,22,NA,NA
56972,18-24 years old,9,240000,48690
56973,Under 18 years old,5,NA,NA
56974,35-44 years old,11,104000,104000
56975,45-54 years old,41,120000,128507
56976,35-44 years old,12,139000,139000
56977,25-34 years old,NA,NA,NA
56978,Under 18 years old,5,NA,NA
56979,25-34 years old,9,NA,NA
56980,Prefer not to say,NA,NA,NA
56981,35-44 years old,19,95000,117931
56982,45-54 years old,28,58000,62112
56983,25-34 years old,7,500000,71892
56984,45-54 years old,26,NA,NA
56985,65 years or older,34,80000,80000
56986,25-34 years old,24,NA,NA
56987,25-34 years old,10,60000,74483
56988,45-54 years old,10,168000,124910
56989,Under 18 years old,2,NA,NA
56990,Under 18 years old,2,NA,NA
56991,45-54 years old,24,650000,59892
56992,25-34 years old,4,70000,42492
56993,18-24 years old,5,NA,NA
56994,25-34 years old,1,NA,NA
56995,55-64 years old,29,NA,NA
56996,25-34 years old,16,5040000,36128
56997,Under 18 years old,8,NA,NA
56998,25-34 years old,16,NA,NA
56999,45-54 years old,28,150000,91053
57000,45-54 years old,41,132000,132000
57001,Under 18 years old,4,NA,NA
57002,55-64 years old,45,NA,NA
57003,Under 18 years old,Less than 1 year,NA,NA
57004,18-24 years old,12,NA,NA
57005,45-54 years old,40,250000,250000
57006,18-24 years old,12,36000,38552
57007,Under 18 years old,4,NA,NA
57008,25-34 years old,12,94000,100664
57009,Prefer not to say,12,NA,NA
57010,35-44 years old,33,150000,150000
57011,35-44 years old,14,NA,NA
57012,18-24 years old,2,NA,NA
57013,25-34 years old,7,1800000,81888
57014,35-44 years old,7,108000,108000
57015,35-44 years old,12,NA,NA
57016,18-24 years old,4,25000,18588
57017,35-44 years old,NA,NA,NA
57018,18-24 years old,Less than 1 year,NA,NA
57019,25-34 years old,8,75000,82662
57020,35-44 years old,19,200000,214179
57021,25-34 years old,14,127000,127000
57022,25-34 years old,11,45000,48190
57023,25-34 years old,22,NA,NA
57024,18-24 years old,4,NA,NA
57025,25-34 years old,9,105100,105100
57026,45-54 years old,28,NA,NA
57027,25-34 years old,2,NA,NA
57028,25-34 years old,8,170000,170000
57029,25-34 years old,8,132000,26780
57030,Prefer not to say,8,NA,NA
57031,25-34 years old,7,NA,NA
57032,35-44 years old,29,155000,155000
57033,45-54 years old,31,NA,NA
57034,45-54 years old,3,NA,NA
57035,55-64 years old,43,NA,NA
57036,18-24 years old,6,784,70
57037,18-24 years old,9,NA,NA
57038,18-24 years old,2,NA,NA
57039,35-44 years old,10,120000,120000
57040,45-54 years old,30,215000,215000
57041,18-24 years old,5,NA,NA
57042,35-44 years old,8,65000,65000
57043,18-24 years old,6,NA,NA
57044,25-34 years old,4,60000,60000
57045,25-34 years old,11,168000,168000
57046,45-54 years old,25,150000,111527
57047,25-34 years old,15,360000,78626
57048,35-44 years old,14,220000,220000
57049,25-34 years old,11,47000,58345
57050,18-24 years old,5,435000,22564
57051,35-44 years old,15,73000,73000
57052,35-44 years old,23,245000,245000
57053,65 years or older,36,180000,180000
57054,35-44 years old,8,130000,85935
57055,18-24 years old,5,NA,NA
57056,45-54 years old,33,85000,85000
57057,25-34 years old,6,105000,115727
57058,45-54 years old,16,NA,NA
57059,Under 18 years old,3,NA,NA
57060,55-64 years old,6,690000,1495
57061,18-24 years old,7,1200000,14540
57062,18-24 years old,5,90000,66916
57063,25-34 years old,NA,NA,NA
57064,18-24 years old,NA,NA,NA
57065,35-44 years old,14,2000000,255116
57066,35-44 years old,24,720000,33845
57067,55-64 years old,6,NA,NA
57068,35-44 years old,NA,NA,NA
57069,35-44 years old,21,78000,96828
